Material,Angle,Sunlight_Intensity,Temperature,Output
mono,40.0,600.0,32.5,88.47813318024195
mono,40.0,600.0,40.0,85.03093318620657
mono,40.0,800.0,10.0,131.7596442164642
mono,40.0,800.0,17.5,127.16337755775035
mono,40.0,800.0,25.0,122.56711089903648
mono,40.0,800.0,32.5,117.97084424032262
mono,40.0,800.0,40.0,113.37457758160876
mono,40.0,1000.0,10.0,164.69955527058028
mono,40.0,1000.0,17.5,158.95422194718796
mono,40.0,1000.0,25.0,153.20888862379562
mono,40.0,1000.0,32.5,147.46355530040327
mono,40.0,1000.0,40.0,141.71822197701096
mono,50.0,200.0,10.0,27.639867216521193
mono,50.0,200.0,17.5,26.675685801991385
mono,50.0,200.0,25.0,25.711504387461574
mono,50.0,200.0,32.5,24.747322972931766
mono,50.0,200.0,40.0,23.78314155840196
mono,50.0,400.0,10.0,55.279734433042385
mono,50.0,400.0,17.5,53.35137160398277
mono,50.0,400.0,25.0,51.42300877492315
mono,50.0,400.0,32.5,49.49464594586353
mono,50.0,400.0,40.0,47.56628311680392
mono,50.0,600.0,10.0,82.91960164956357
mono,50.0,600.0,17.5,80.02705740597416
mono,50.0,600.0,25.0,77.13451316238472
mono,50.0,600.0,32.5,74.2419689187953
mono,50.0,600.0,40.0,71.34942467520588
mono,50.0,800.0,10.0,110.55946886608477
mono,50.0,800.0,17.5,106.70274320796554
mono,50.0,800.0,25.0,102.8460175498463
mono,50.0,800.0,32.5,98.98929189172706
mono,50.0,800.0,40.0,95.13256623360785
mono,50.0,1000.0,10.0,138.19933608260595
mono,50.0,1000.0,17.5,133.37842900995693
mono,50.0,1000.0,25.0,128.55752193730788
mono,50.0,1000.0,32.5,123.73661486465883
mono,50.0,1000.0,40.0,118.9157077920098
mono,60.0,200.0,10.0,21.500000000000004
mono,60.0,200.0,17.5,20.750000000000004
mono,60.0,200.0,25.0,20.000000000000004
mono,60.0,200.0,32.5,19.250000000000004
mono,60.0,200.0,40.0,18.500000000000007
mono,60.0,400.0,10.0,43.00000000000001
mono,60.0,400.0,17.5,41.50000000000001
mono,60.0,400.0,25.0,40.00000000000001
mono,60.0,400.0,32.5,38.50000000000001
mono,60.0,400.0,40.0,37.000000000000014
mono,60.0,600.0,10.0,64.50000000000001
mono,60.0,600.0,17.5,62.25000000000002
mono,60.0,600.0,25.0,60.000000000000014
mono,60.0,600.0,32.5,57.750000000000014
mono,60.0,600.0,40.0,55.50000000000002
mono,60.0,800.0,10.0,86.00000000000001
mono,60.0,800.0,17.5,83.00000000000001
mono,60.0,800.0,25.0,80.00000000000001
mono,60.0,800.0,32.5,77.00000000000001
mono,60.0,800.0,40.0,74.00000000000003
mono,60.0,1000.0,10.0,107.50000000000003
mono,60.0,1000.0,17.5,103.75000000000004
mono,60.0,1000.0,25.0,100.00000000000003
mono,60.0,1000.0,32.5,96.25000000000003
mono,60.0,1000.0,40.0,92.50000000000003
mono,70.0,200.0,10.0,14.70686616300376
mono,70.0,200.0,17.5,14.193835948015256
mono,70.0,200.0,25.0,13.680805733026753
mono,70.0,200.0,32.5,13.16777551803825
mono,70.0,200.0,40.0,12.654745303049749
mono,70.0,400.0,10.0,29.41373232600752
mono,70.0,400.0,17.5,28.38767189603051
mono,70.0,400.0,25.0,27.361611466053507
mono,70.0,400.0,32.5,26.3355510360765
mono,70.0,400.0,40.0,25.309490606099498
mono,70.0,600.0,10.0,44.12059848901128
mono,70.0,600.0,17.5,42.581507844045774
mono,70.0,600.0,25.0,41.04241719908026
mono,70.0,600.0,32.5,39.50332655411475
mono,70.0,600.0,40.0,37.964235909149245
mono,70.0,800.0,10.0,58.82746465201504
mono,70.0,800.0,17.5,56.77534379206102
mono,70.0,800.0,25.0,54.723222932107014
mono,70.0,800.0,32.5,52.671102072153
mono,70.0,800.0,40.0,50.618981212198996
mono,70.0,1000.0,10.0,73.53433081501879
mono,70.0,1000.0,17.5,70.96917974007629
mono,70.0,1000.0,25.0,68.40402866513377
mono,70.0,1000.0,32.5,65.83887759019125
mono,70.0,1000.0,40.0,63.27372651524874
mono,80.0,200.0,10.0,7.466871639678008
mono,80.0,200.0,17.5,7.206399373177613
mono,80.0,200.0,25.0,6.945927106677217
mono,80.0,200.0,32.5,6.685454840176821
mono,80.0,200.0,40.0,6.424982573676426
mono,80.0,400.0,10.0,14.933743279356015
mono,80.0,400.0,17.5,14.412798746355225
mono,80.0,400.0,25.0,13.891854213354433
mono,80.0,400.0,32.5,13.370909680353641
mono,80.0,400.0,40.0,12.849965147352853
mono,80.0,600.0,10.0,22.400614919034023
mono,80.0,600.0,17.5,21.61919811953284
mono,80.0,600.0,25.0,20.83778132003165
mono,80.0,600.0,32.5,20.05636452053046
mono,80.0,600.0,40.0,19.274947721029278
mono,80.0,800.0,10.0,29.86748655871203
mono,80.0,800.0,17.5,28.82559749271045
mono,80.0,800.0,25.0,27.783708426708866
mono,80.0,800.0,32.5,26.741819360707282
mono,80.0,800.0,40.0,25.699930294705705
mono,80.0,1000.0,10.0,37.33435819839004
mono,80.0,1000.0,17.5,36.03199686588807
mono,80.0,1000.0,25.0,34.72963553338608
mono,80.0,1000.0,32.5,33.427274200884106
mono,80.0,1000.0,40.0,32.12491286838213
mono,90.0,200.0,10.0,2.6329906181668092e-15
mono,90.0,200.0,17.5,2.541142108230758e-15
mono,90.0,200.0,25.0,2.4492935982947065e-15
mono,90.0,200.0,32.5,2.3574450883586548e-15
mono,90.0,200.0,40.0,2.2655965784226038e-15
mono,90.0,400.0,10.0,5.2659812363336185e-15
mono,90.0,400.0,17.5,5.082284216461516e-15
mono,90.0,400.0,25.0,4.898587196589413e-15
mono,90.0,400.0,32.5,4.7148901767173095e-15
mono,90.0,400.0,40.0,4.5311931568452076e-15
mono,90.0,600.0,10.0,7.898971854500428e-15
mono,90.0,600.0,17.5,7.623426324692274e-15
mono,90.0,600.0,25.0,7.34788079488412e-15
mono,90.0,600.0,32.5,7.072335265075965e-15
mono,90.0,600.0,40.0,6.796789735267811e-15
mono,90.0,800.0,10.0,1.0531962472667237e-14
mono,90.0,800.0,17.5,1.0164568432923031e-14
mono,90.0,800.0,25.0,9.797174393178826e-15
mono,90.0,800.0,32.5,9.429780353434619e-15
mono,90.0,800.0,40.0,9.062386313690415e-15
mono,90.0,1000.0,10.0,1.3164953090834047e-14
mono,90.0,1000.0,17.5,1.270571054115379e-14
mono,90.0,1000.0,25.0,1.2246467991473532e-14
mono,90.0,1000.0,32.5,1.1787225441793275e-14
mono,90.0,1000.0,40.0,1.1327982892113019e-14
poly,0.0,200.0,10.0,32.24999999999999
poly,0.0,200.0,17.5,31.125000000000004
poly,0.0,200.0,25.0,30.0
poly,0.0,200.0,32.5,28.875
poly,0.0,200.0,40.0,27.750000000000004
poly,0.0,400.0,10.0,64.49999999999999
poly,0.0,400.0,17.5,62.25000000000001
poly,0.0,400.0,25.0,60.0
poly,0.0,400.0,32.5,57.75
poly,0.0,400.0,40.0,55.50000000000001
poly,0.0,600.0,10.0,96.74999999999999
poly,0.0,600.0,17.5,93.37500000000001
poly,0.0,600.0,25.0,90.0
poly,0.0,600.0,32.5,86.625
poly,0.0,600.0,40.0,83.25000000000001
poly,0.0,800.0,10.0,128.99999999999997
poly,0.0,800.0,17.5,124.50000000000001
poly,0.0,800.0,25.0,120.0
poly,0.0,800.0,32.5,115.5
poly,0.0,800.0,40.0,111.00000000000001
poly,0.0,1000.0,10.0,161.24999999999997
poly,0.0,1000.0,17.5,155.625
poly,0.0,1000.0,25.0,150.0
poly,0.0,1000.0,32.5,144.375
poly,0.0,1000.0,40.0,138.75
poly,10.0,200.0,10.0,31.7600500346437
poly,10.0,200.0,17.5,30.652141312504977
poly,10.0,200.0,25.0,29.544232590366242
poly,10.0,200.0,32.5,28.436323868227507
poly,10.0,200.0,40.0,27.328415146088776
poly,10.0,400.0,10.0,63.5201000692874
poly,10.0,400.0,17.5,61.304282625009954
poly,10.0,400.0,25.0,59.088465180732484
poly,10.0,400.0,32.5,56.872647736455015
poly,10.0,400.0,40.0,54.65683029217755
poly,10.0,600.0,10.0,95.2801501039311
poly,10.0,600.0,17.5,91.95642393751494
poly,10.0,600.0,25.0,88.63269777109872
poly,10.0,600.0,32.5,85.30897160468253
poly,10.0,600.0,40.0,81.98524543826633
poly,10.0,800.0,10.0,127.0402001385748
poly,10.0,800.0,17.5,122.60856525001991
poly,10.0,800.0,25.0,118.17693036146497
poly,10.0,800.0,32.5,113.74529547291003
poly,10.0,800.0,40.0,109.3136605843551
poly,10.0,1000.0,10.0,158.80025017321853
poly,10.0,1000.0,17.5,153.26070656252486
poly,10.0,1000.0,25.0,147.7211629518312
poly,10.0,1000.0,32.5,142.18161934113752
poly,10.0,1000.0,40.0,136.64207573044385
poly,20.0,200.0,10.0,30.30508702034554
poly,20.0,200.0,17.5,29.247932821961403
poly,20.0,200.0,25.0,28.190778623577252
poly,20.0,200.0,32.5,27.133624425193105
poly,20.0,200.0,40.0,26.07647022680896
poly,20.0,400.0,10.0,60.61017404069108
poly,20.0,400.0,17.5,58.495865643922805
poly,20.0,400.0,25.0,56.381557247154504
poly,20.0,400.0,32.5,54.26724885038621
poly,20.0,400.0,40.0,52.15294045361792
poly,20.0,600.0,10.0,90.91526106103663
poly,20.0,600.0,17.5,87.74379846588421
poly,20.0,600.0,25.0,84.57233587073176
poly,20.0,600.0,32.5,81.40087327557931
poly,20.0,600.0,40.0,78.2294106804269
poly,20.0,800.0,10.0,121.22034808138216
poly,20.0,800.0,17.5,116.99173128784561
poly,20.0,800.0,25.0,112.76311449430901
poly,20.0,800.0,32.5,108.53449770077242
poly,20.0,800.0,40.0,104.30588090723585
poly,20.0,1000.0,10.0,151.5254351017277
poly,20.0,1000.0,17.5,146.239664109807
poly,20.0,1000.0,25.0,140.95389311788625
poly,20.0,1000.0,32.5,135.66812212596554
poly,20.0,1000.0,40.0,130.3823511340448
poly,30.0,200.0,10.0,27.929319272048144
poly,30.0,200.0,17.5,26.955040692790657
poly,30.0,200.0,25.0,25.98076211353316
poly,30.0,200.0,32.5,25.006483534275667
poly,30.0,200.0,40.0,24.032204955018177
poly,30.0,400.0,10.0,55.85863854409629
poly,30.0,400.0,17.5,53.910081385581314
poly,30.0,400.0,25.0,51.96152422706632
poly,30.0,400.0,32.5,50.01296706855133
poly,30.0,400.0,40.0,48.06440991003635
poly,30.0,600.0,10.0,83.78795781614443
poly,30.0,600.0,17.5,80.86512207837198
poly,30.0,600.0,25.0,77.94228634059948
poly,30.0,600.0,32.5,75.019450602827
poly,30.0,600.0,40.0,72.09661486505453
poly,30.0,800.0,10.0,111.71727708819257
poly,30.0,800.0,17.5,107.82016277116263
poly,30.0,800.0,25.0,103.92304845413264
poly,30.0,800.0,32.5,100.02593413710267
poly,30.0,800.0,40.0,96.1288198200727
poly,30.0,1000.0,10.0,139.64659636024072
poly,30.0,1000.0,17.5,134.77520346395326
poly,30.0,1000.0,25.0,129.9038105676658
poly,30.0,1000.0,32.5,125.03241767137834
poly,30.0,1000.0,40.0,120.16102477509087
poly,40.0,200.0,10.0,24.704933290587036
poly,40.0,200.0,17.5,23.843133292078193
poly,40.0,200.0,25.0,22.98133329356934
poly,40.0,200.0,32.5,22.11953329506049
poly,40.0,200.0,40.0,21.257733296551642
poly,40.0,400.0,10.0,49.40986658117407
poly,40.0,400.0,17.5,47.686266584156385
poly,40.0,400.0,25.0,45.96266658713868
poly,40.0,400.0,32.5,44.23906659012098
poly,40.0,400.0,40.0,42.515466593103284
poly,40.0,600.0,10.0,74.11479987176111
poly,40.0,600.0,17.5,71.52939987623458
poly,40.0,600.0,25.0,68.94399988070802
poly,40.0,600.0,32.5,66.35859988518148
poly,40.0,600.0,40.0,63.77319988965493
poly,40.0,800.0,10.0,98.81973316234814
poly,40.0,800.0,17.5,95.37253316831277
poly,40.0,800.0,25.0,91.92533317427736
poly,40.0,800.0,32.5,88.47813318024195
poly,40.0,800.0,40.0,85.03093318620657
poly,40.0,1000.0,10.0,123.52466645293518
poly,40.0,1000.0,17.5,119.21566646039095
poly,40.0,1000.0,25.0,114.9066664678467
poly,40.0,1000.0,32.5,110.59766647530245
poly,40.0,1000.0,40.0,106.2886664827582
poly,50.0,200.0,10.0,20.72990041239089
poly,50.0,200.0,17.5,20.00676435149354
poly,50.0,200.0,25.0,19.28362829059618
poly,50.0,200.0,32.5,18.560492229698824
poly,50.0,200.0,40.0,17.83735616880147
poly,50.0,400.0,10.0,41.45980082478178
poly,50.0,400.0,17.5,40.01352870298708
poly,50.0,400.0,25.0,38.56725658119236
poly,50.0,400.0,32.5,37.12098445939765
poly,50.0,400.0,40.0,35.67471233760294
poly,50.0,600.0,10.0,62.18970123717268
poly,50.0,600.0,17.5,60.020293054480625
poly,50.0,600.0,25.0,57.850884871788544
poly,50.0,600.0,32.5,55.68147668909647
poly,50.0,600.0,40.0,53.51206850640441
poly,50.0,800.0,10.0,82.91960164956356
poly,50.0,800.0,17.5,80.02705740597416
poly,50.0,800.0,25.0,77.13451316238472
poly,50.0,800.0,32.5,74.2419689187953
poly,50.0,800.0,40.0,71.34942467520588
poly,50.0,1000.0,10.0,103.64950206195445
poly,50.0,1000.0,17.5,100.03382175746769
poly,50.0,1000.0,25.0,96.4181414529809
poly,50.0,1000.0,32.5,92.80246114849412
poly,50.0,1000.0,40.0,89.18678084400733
poly,60.0,200.0,10.0,16.125
poly,60.0,200.0,17.5,15.562500000000005
poly,60.0,200.0,25.0,15.000000000000004
poly,60.0,200.0,32.5,14.437500000000004
poly,60.0,200.0,40.0,13.875000000000005
poly,60.0,400.0,10.0,32.25
poly,60.0,400.0,17.5,31.12500000000001
poly,60.0,400.0,25.0,30.000000000000007
poly,60.0,400.0,32.5,28.875000000000007
poly,60.0,400.0,40.0,27.75000000000001
poly,60.0,600.0,10.0,48.37500000000001
poly,60.0,600.0,17.5,46.687500000000014
poly,60.0,600.0,25.0,45.00000000000001
poly,60.0,600.0,32.5,43.31250000000001
poly,60.0,600.0,40.0,41.625000000000014
poly,60.0,800.0,10.0,64.5
poly,60.0,800.0,17.5,62.25000000000002
poly,60.0,800.0,25.0,60.000000000000014
poly,60.0,800.0,32.5,57.750000000000014
poly,60.0,800.0,40.0,55.50000000000002
poly,60.0,1000.0,10.0,80.625
poly,60.0,1000.0,17.5,77.81250000000001
poly,60.0,1000.0,25.0,75.00000000000001
poly,60.0,1000.0,32.5,72.18750000000001
poly,60.0,1000.0,40.0,69.37500000000001
poly,70.0,200.0,10.0,11.030149622252818
poly,70.0,200.0,17.5,10.645376961011443
poly,70.0,200.0,25.0,10.260604299770065
poly,70.0,200.0,32.5,9.875831638528688
poly,70.0,200.0,40.0,9.491058977287311
poly,70.0,400.0,10.0,22.060299244505636
poly,70.0,400.0,17.5,21.290753922022887
poly,70.0,400.0,25.0,20.52120859954013
poly,70.0,400.0,32.5,19.751663277057375
poly,70.0,400.0,40.0,18.982117954574623
poly,70.0,600.0,10.0,33.09044886675846
poly,70.0,600.0,17.5,31.93613088303433
poly,70.0,600.0,25.0,30.781812899310193
poly,70.0,600.0,32.5,29.627494915586063
poly,70.0,600.0,40.0,28.473176931861936
poly,70.0,800.0,10.0,44.12059848901127
poly,70.0,800.0,17.5,42.581507844045774
poly,70.0,800.0,25.0,41.04241719908026
poly,70.0,800.0,32.5,39.50332655411475
poly,70.0,800.0,40.0,37.964235909149245
poly,70.0,1000.0,10.0,55.150748111264086
poly,70.0,1000.0,17.5,53.22688480505721
poly,70.0,1000.0,25.0,51.30302149885032
poly,70.0,1000.0,32.5,49.37915819264344
poly,70.0,1000.0,40.0,47.45529488643655
poly,80.0,200.0,10.0,5.600153729758505
poly,80.0,200.0,17.5,5.40479952988321
poly,80.0,200.0,25.0,5.209445330007912
poly,80.0,200.0,32.5,5.014091130132615
poly,80.0,200.0,40.0,4.8187369302573195
poly,80.0,400.0,10.0,11.20030745951701
poly,80.0,400.0,17.5,10.80959905976642
poly,80.0,400.0,25.0,10.418890660015824
poly,80.0,400.0,32.5,10.02818226026523
poly,80.0,400.0,40.0,9.637473860514639
poly,80.0,600.0,10.0,16.800461189275516
poly,80.0,600.0,17.5,16.21439858964963
poly,80.0,600.0,25.0,15.628335990023738
poly,80.0,600.0,32.5,15.042273390397847
poly,80.0,600.0,40.0,14.456210790771959
poly,80.0,800.0,10.0,22.40061491903402
poly,80.0,800.0,17.5,21.61919811953284
poly,80.0,800.0,25.0,20.83778132003165
poly,80.0,800.0,32.5,20.05636452053046
poly,80.0,800.0,40.0,19.274947721029278
poly,80.0,1000.0,10.0,28.000768648792523
poly,80.0,1000.0,17.5,27.023997649416046
poly,80.0,1000.0,25.0,26.047226650039562
poly,80.0,1000.0,32.5,25.070455650663078
poly,80.0,1000.0,40.0,24.093684651286594
poly,90.0,200.0,10.0,1.9747429636251066e-15
poly,90.0,200.0,17.5,1.9058565811730685e-15
poly,90.0,200.0,25.0,1.83697019872103e-15
poly,90.0,200.0,32.5,1.7680838162689913e-15
poly,90.0,200.0,40.0,1.6991974338169527e-15
poly,90.0,400.0,10.0,3.949485927250213e-15
poly,90.0,400.0,17.5,3.811713162346137e-15
poly,90.0,400.0,25.0,3.67394039744206e-15
poly,90.0,400.0,32.5,3.5361676325379825e-15
poly,90.0,400.0,40.0,3.3983948676339055e-15
poly,90.0,600.0,10.0,5.92422889087532e-15
poly,90.0,600.0,17.5,5.717569743519206e-15
poly,90.0,600.0,25.0,5.5109105961630896e-15
poly,90.0,600.0,32.5,5.304251448806973e-15
poly,90.0,600.0,40.0,5.0975923014508584e-15
poly,90.0,800.0,10.0,7.898971854500427e-15
poly,90.0,800.0,17.5,7.623426324692274e-15
poly,90.0,800.0,25.0,7.34788079488412e-15
poly,90.0,800.0,32.5,7.072335265075965e-15
poly,90.0,800.0,40.0,6.796789735267811e-15
poly,90.0,1000.0,10.0,9.873714818125534e-15
poly,90.0,1000.0,17.5,9.529282905865343e-15
poly,90.0,1000.0,25.0,9.184850993605149e-15
poly,90.0,1000.0,32.5,8.840419081344956e-15
poly,90.0,1000.0,40.0,8.495987169084764e-15
thin-film,0.0,200.0,10.0,21.5
thin-film,0.0,200.0,17.5,20.75
thin-film,0.0,200.0,25.0,20.0
thin-film,0.0,200.0,32.5,19.25
thin-film,0.0,200.0,40.0,18.500000000000004
thin-film,0.0,400.0,10.0,43.0
thin-film,0.0,400.0,17.5,41.5
thin-film,0.0,400.0,25.0,40.0
thin-film,0.0,400.0,32.5,38.5
thin-film,0.0,400.0,40.0,37.00000000000001
thin-film,0.0,600.0,10.0,64.5
thin-film,0.0,600.0,17.5,62.25000000000001
thin-film,0.0,600.0,25.0,60.0
thin-film,0.0,600.0,32.5,57.75
thin-film,0.0,600.0,40.0,55.50000000000001
thin-film,0.0,800.0,10.0,86.0
thin-film,0.0,800.0,17.5,83.0
thin-film,0.0,800.0,25.0,80.0
thin-film,0.0,800.0,32.5,77.0
thin-film,0.0,800.0,40.0,74.00000000000001
thin-film,0.0,1000.0,10.0,107.5
thin-film,0.0,1000.0,17.5,103.75000000000001
thin-film,0.0,1000.0,25.0,100.0
thin-film,0.0,1000.0,32.5,96.25
thin-film,0.0,1000.0,40.0,92.50000000000001
thin-film,10.0,200.0,10.0,21.17336668976247
thin-film,10.0,200.0,17.5,20.434760875003317
thin-film,10.0,200.0,25.0,19.69615506024416
thin-film,10.0,200.0,32.5,18.957549245485005
thin-film,10.0,200.0,40.0,18.21894343072585
thin-film,10.0,400.0,10.0,42.34673337952494
thin-film,10.0,400.0,17.5,40.86952175000663
thin-film,10.0,400.0,25.0,39.39231012048832
thin-film,10.0,400.0,32.5,37.91509849097001
thin-film,10.0,400.0,40.0,36.4378868614517
thin-film,10.0,600.0,10.0,63.520100069287416
thin-film,10.0,600.0,17.5,61.304282625009954
thin-film,10.0,600.0,25.0,59.088465180732484
thin-film,10.0,600.0,32.5,56.872647736455015
thin-film,10.0,600.0,40.0,54.65683029217755
thin-film,10.0,800.0,10.0,84.69346675904988
thin-film,10.0,800.0,17.5,81.73904350001327
thin-film,10.0,800.0,25.0,78.78462024097664
thin-film,10.0,800.0,32.5,75.83019698194002
thin-film,10.0,800.0,40.0,72.8757737229034
thin-film,10.0,1000.0,10.0,105.86683344881236
thin-film,10.0,1000.0,17.5,102.1738043750166
thin-film,10.0,1000.0,25.0,98.4807753012208
thin-film,10.0,1000.0,32.5,94.78774622742502
thin-film,10.0,1000.0,40.0,91.09471715362926
thin-film,20.0,200.0,10.0,20.203391346897032
thin-film,20.0,200.0,17.5,19.4986218813076
thin-film,20.0,200.0,25.0,18.79385241571817
thin-film,20.0,200.0,32.5,18.089082950128738
thin-film,20.0,200.0,40.0,17.38431348453931
thin-film,20.0,400.0,10.0,40.406782693794064
thin-film,20.0,400.0,17.5,38.9972437626152
thin-film,20.0,400.0,25.0,37.58770483143634
thin-film,20.0,400.0,32.5,36.178165900257476
thin-film,20.0,400.0,40.0,34.76862696907862
thin-film,20.0,600.0,10.0,60.61017404069109
thin-film,20.0,600.0,17.5,58.495865643922805
thin-film,20.0,600.0,25.0,56.381557247154504
thin-film,20.0,600.0,32.5,54.26724885038621
thin-film,20.0,600.0,40.0,52.15294045361792
thin-film,20.0,800.0,10.0,80.81356538758813
thin-film,20.0,800.0,17.5,77.9944875252304
thin-film,20.0,800.0,25.0,75.17540966287268
thin-film,20.0,800.0,32.5,72.35633180051495
thin-film,20.0,800.0,40.0,69.53725393815724
thin-film,20.0,1000.0,10.0,101.01695673448516
thin-film,20.0,1000.0,17.5,97.49310940653801
thin-film,20.0,1000.0,25.0,93.96926207859084
thin-film,20.0,1000.0,32.5,90.44541475064369
thin-film,20.0,1000.0,40.0,86.92156742269654
thin-film,30.0,200.0,10.0,18.619546181365433
thin-film,30.0,200.0,17.5,17.970027128527104
thin-film,30.0,200.0,25.0,17.320508075688775
thin-film,30.0,200.0,32.5,16.670989022850446
thin-film,30.0,200.0,40.0,16.02146997001212
thin-film,30.0,400.0,10.0,37.239092362730865
thin-film,30.0,400.0,17.5,35.94005425705421
thin-film,30.0,400.0,25.0,34.64101615137755
thin-film,30.0,400.0,32.5,33.34197804570089
thin-film,30.0,400.0,40.0,32.04293994002424
thin-film,30.0,600.0,10.0,55.858638544096294
thin-film,30.0,600.0,17.5,53.910081385581314
thin-film,30.0,600.0,25.0,51.96152422706632
thin-film,30.0,600.0,32.5,50.01296706855133
thin-film,30.0,600.0,40.0,48.06440991003635
thin-film,30.0,800.0,10.0,74.47818472546173
thin-film,30.0,800.0,17.5,71.88010851410841
thin-film,30.0,800.0,25.0,69.2820323027551
thin-film,30.0,800.0,32.5,66.68395609140178
